,S,V,L,BET,Vt,Temp(K),K,n,Vmic,Group
478,0.28,0.2809,0.058,1243.0,0.7,273.0,6.007325871664041,0.5271929781045124,0.55,2
479,0.28,0.2809,0.058,1312.0,0.67,273.0,6.786320373645465,0.5120594993469404,0.63,2
480,0.28,0.2809,0.058,111.0,0.07,298.0,0.6326332093930834,0.5719461458620411,0.05,0
481,0.28,0.2809,0.058,668.0,0.35,298.0,2.013700674810952,0.5485192324193384,0.32,0
482,0.28,0.2809,0.058,897.0,0.49,298.0,3.583339000153222,0.5962310858218138,0.42,0
483,0.28,0.2809,0.058,1243.0,0.7,298.0,4.094430628579626,0.6137092891476598,0.55,0
484,0.28,0.2809,0.058,1312.0,0.67,298.0,5.202364346617871,0.6158078916141655,0.63,0
485,0.28,0.2809,0.058,111.0,0.07,298.0,0.6961363994349846,0.5081435302770014,0.05,0
486,0.28,0.2809,0.058,668.0,0.35,298.0,2.098757830380901,0.256638360775737,0.32,0
487,0.28,0.2809,0.058,897.0,0.49,298.0,3.323735239105536,0.2772628697148727,0.42,0
488,0.28,0.2809,0.058,1243.0,0.7,298.0,4.199482344855485,0.2975077259944947,0.55,0
489,0.28,0.2809,0.058,1312.0,0.67,298.0,5.197825593022257,0.2114547878823533,0.63,0
490,0.28,0.2809,0.058,528.0,0.28,273.0,3.968125563354149,0.3881268933274143,0.19,2
491,0.28,0.2809,0.058,616.0,0.32,273.0,4.128255216428724,0.3833971779628713,0.2,2
492,0.28,0.2809,0.058,589.0,0.31,273.0,4.452604879560412,0.3859486989962205,0.2,2
