,Unnamed: 0,n,kf,R_f,Q10,Q,kl,R_l,Index,
241,241,2.72046835,1.512809189,0.971697491,3.526695139,4.950339995,0.301975808,0.993211165,2992,0.547367919
242,242,1.514019112,1.151023202,0.998107688,5.267174684,2.023211952,1.215455837,0.998227528,2993,0.721577722
243,243,1.465385394,1.116361116,0.996488208,5.373027172,2.052833429,1.098177177,0.998964126,2994,0.730219037
244,244,1.53419863,0.932248099,0.995693772,4.181552843,1.576405206,1.315478295,0.999103989,2995,0.621337589
245,245,1.622196991,1.310563906,0.99696762,5.418837743,2.078637929,1.521949699,0.99800207,2996,0.733906147
246,246,1.432244712,0.964111238,0.996945779,4.812069076,1.910216993,0.959124408,0.999716545,2997,0.682331853
247,247,1.62582254,1.739246797,0.997610592,7.168602358,8.463488585,-23234108.05,-2.69E-08,2998,0.855434491
248,248,1.512134496,1.404318901,0.997681602,6.438468527,7.945711127,-24757094.43,-2.50E-08,2999,0.808782577
249,249,1.718140118,0.891867918,0.993285587,3.406632218,4.622754402,-9677557.777,-5.37E-08,3000,0.532325249
250,250,1.502315497,0.498108671,0.993047211,2.306551975,3.267065827,-22386631.66,-2.75E-08,3001,0.362963245
251,251,1.388508262,0.327442216,0.996984161,1.719222323,2.774679189,-21630787.28,-2.21E-08,3002,0.235332042
252,252,2.31370053,1.157266773,0.991943808,3.130700601,3.349010379,-51739147.08,-1.91E-08,3003,0.495641537
253,253,2.050888988,0.886992697,0.991171944,2.725922323,2.903194183,-35423273.06,-2.34E-08,3004,0.435513476
254,254,2.473230747,1.130649436,0.990650794,2.868516876,3.174058813,-36454114.02,-3.38E-08,3005,0.457657409
255,255,2.060019512,0.785532303,0.992352098,2.402129099,2.592592569,-23831181.67,-3.43E-08,3006,0.380596344
256,256,3.62301559,1.468962919,0.968692151,2.773473357,2.868900638,-74209039.81,-2.41E-08,3007,0.443023998
257,257,2.89744377,1.083006101,0.970331619,2.397522596,2.512247686,-83546248.17,-1.63E-08,3008,0.379762709
258,258,1.514310396,1.313521479,0.988959579,6.009021724,2.449450283,1.095012376,0.998190332,3009,0.778803774
259,259,1.425391987,1.5989663,0.998424038,8.042678569,3.403073799,0.850915314,0.997872947,3010,0.905400712
