,n,kf,R_f,Q,kl,`,Index
161,1.357721318,0.52156758,0.996150446,3.219092307,-33060135.34,-1.75E-08,2912
162,2.191017727,1.469306975,0.99485231,7.169566481,-14266951.07,-2.97E-08,2913
163,1.989645802,1.112982826,0.994069739,5.729738956,-14323633.04,-2.02E-08,2914
164,1.804669781,0.759581258,0.995846101,5.130112836,-8274987.659,-4.76E-08,2915
165,2.338955067,1.336193489,0.992075843,4.926601072,-7448470.333,-5.35E-08,2916
166,2.160962059,1.364073117,0.994496357,5.356896408,-19589776.59,-3.35E-08,2917
167,2.305282527,1.403413552,0.990759837,4.826395008,-28059921.19,-3.59E-08,2918
168,2.145720327,0.855127093,0.995007437,2.928871592,-30987230.54,-3.75E-08,2919
169,2.459664289,1.683145867,0.992627666,5.117140074,-46003011.13,-2.81E-08,2920
170,2.052821638,1.043512875,0.992707517,4.349585024,-22449163.67,-3.02E-08,2921
171,1.928933503,0.824638208,0.992420721,4.088732799,-15959904.58,-4.65E-08,2922
172,1.786036383,0.365113438,0.995852915,2.105559118,-11540854.39,-4.83E-08,2923
173,1.081283552,0.127429863,0.998044846,2.267994452,-8374516.853,-3.48E-08,2924
174,2.709752586,0.543792505,0.975206058,2.263631873,0.168962191,0.994325981,2925
175,1.876997785,1.318015062,0.991615349,8.317958101,-13113954.12,-1.52E-08,2926
176,1.899621844,1.041078967,0.994864205,6.988007339,-12936989.13,-2.10E-08,2927
177,2.564184764,1.923368296,0.98481721,7.241697369,-11370717.01,-2.34E-08,2928
178,3.318186205,2.562690524,0.990055906,7.809617161,-18928033.66,-1.17E-08,2929
179,2.620799954,2.039840931,0.97321044,6.646351253,-11872271.67,-4.47E-08,2930
180,2.942246815,2.124815538,0.961523481,6.614916084,-11355332.92,-3.44E-08,2931
181,2.116386293,2.242135503,0.997802281,7.121012215,-14701406.72,-3.86E-08,2932
182,2.096378911,2.151422666,0.994816993,7.171869941,-24447310.97,-2.15E-08,2933
183,2.150683456,2.087997816,0.987753936,7.108444538,-13702418.29,-3.44E-08,2934
184,2.151990638,1.576038646,0.999317999,4.647028557,-53799052.93,-1.39E-08,2935
185,2.207789628,2.00082726,0.9991892,5.590213704,-17009152.41,-4.94E-08,2936
186,2.100698298,1.748360536,0.998265239,5.439209209,-21302446.43,-3.37E-08,2937
187,1.967984883,1.028685262,0.994989419,4.488863368,0.238033386,0.99434465,2938
188,2.555497728,2.779872758,0.956046622,7.71955822,-26247030.8,-4.49E-08,2939
189,2.859386327,2.337140076,0.971698548,5.816869748,-49643329.27,-2.84E-08,2940
190,2.556576586,1.401621747,0.982425896,6.179853048,0.155373221,0.931031498,2941
191,1.434284559,1.635445014,0.997254425,3.475961244,0.863179347,0.999238972,2942
192,1.280920735,1.505183925,0.997690503,4.248368181,0.537648384,0.999221205,2943
193,1.231366087,1.312488732,0.999047367,4.52249219,0.403648894,0.999676678,2944
194,1.25491072,1.226810536,0.997991477,4.008778372,0.435209009,0.999801395,2945
195,1.252764916,1.184880234,0.997785077,3.621780862,0.477788727,0.999815191,2946
196,1.854296299,0.367365794,0.973776533,0.536638131,1.969963926,0.996379266,2947
197,3.439484401,1.175274883,0.953995504,2.313451892,0.899893,0.99853398,2948
198,2.150211443,0.722265986,0.956969272,2.391887493,0.370962937,0.993989728,2949
199,2.105209046,0.563022572,0.961011001,1.931630859,0.350795454,0.99438492,2950
200,2.130212444,0.681796385,0.954212183,2.296904908,0.360237087,0.991780829,2951
201,1.886671654,0.431358969,0.970193713,1.67674269,0.305403827,0.995916696,2952
202,1.696538318,0.890941296,0.99276203,5.361893952,0.164601922,0.997331671,2953
203,1.737287515,0.620666167,0.982480296,3.373312933,0.192754433,0.998923178,2954
204,1.680839509,0.549043016,0.991018597,3.289742631,0.168507059,0.998800646,2955
205,1.630404835,0.717446897,0.99323984,4.570466648,0.160554036,0.999097043,2956
206,1.687530059,0.522637936,0.982161699,3.046581372,0.177872755,0.998690113,2957
207,1.656709187,0.492090229,0.9894613,3.07308266,0.160200857,0.99766152,2958
208,1.626506283,0.655920726,0.991510522,4.268255557,0.153699325,0.999311756,2959
209,1.682472017,0.457871131,0.989635561,2.716809939,0.171767711,0.999520101,2960
210,1.615626633,0.408861182,0.988773273,2.703375912,0.151088213,0.999331424,2961
211,2.140914266,1.299189968,0.987578261,4.600587719,0.3449351,0.997055131,2962
212,1.904899921,0.95689646,0.988596061,4.318313802,0.238664804,0.999299946,2963
213,1.684627366,0.722499539,0.990896283,4.361849751,0.164887732,0.999746677,2964
214,3.267571035,0.617276988,0.987982624,2.358956517,0.136502171,0.962418249,2965
215,2.891536688,0.44657422,0.989157003,2.078448029,0.098802916,0.979194081,2966
216,2.522551239,0.308145719,0.980762527,1.843326563,0.078847896,0.994418303,2967
217,3.652904443,3.042580276,0.973538056,6.600817387,-72064236.96,-3.19E-08,2968
218,3.140649194,2.249213841,0.973446694,6.133267255,-57546036.15,-1.84E-08,2969
219,2.74100896,1.648957492,0.976918057,5.317067077,-30790477.82,-3.52E-08,2970
220,2.493075861,0.246875115,0.970984537,1.538672754,0.073962147,0.996106533,2971
221,2.391576704,0.16857463,0.96897019,1.198501616,0.05883748,0.999317511,2972
222,2.118719984,0.10366916,0.979451431,1.015397535,0.03996941,0.999558553,2973
223,3.697479052,1.983042065,0.954442441,3.905698085,-65178320.79,-2.81E-08,2974
224,3.263466513,1.609435355,0.965889609,3.477809648,-44072704.59,-4.39E-08,2975
225,2.825668735,1.294841729,0.963148447,4.925342487,0.204880327,0.997098624,2976
226,2.134682831,2.256642025,0.985276182,7.940909118,-30577948.73,-2.57E-08,2977
227,2.172875845,2.263937964,0.989217206,7.829644971,-13794830.24,-4.36E-08,2978
228,2.202555975,2.011535939,0.978021603,7.307132371,-13872697.87,-4.44E-08,2979
229,2.889104276,2.929580227,0.964854606,10.34464751,-9542008.463,-3.51E-08,2980
230,1.765567124,2.51614511,0.997968465,7.714857125,-66694644.81,-1.58E-08,2981
231,1.704021753,2.156522349,0.997505421,7.417994598,-21812818.15,-4.20E-08,2982
232,1.614683191,1.79039588,0.997376762,6.947326488,-14796291.36,-5.31E-08,2983
233,1.552425993,1.522969132,0.998365543,5.78004352,-22775247.21,-4.09E-08,2984
234,1.465196802,1.259075299,0.99819876,5.681845408,-62051728.03,-2.42E-08,2985
235,2.691073371,1.450165763,0.987980307,3.705520115,-62470233.94,-2.36E-08,2986
236,2.457068879,1.240910558,0.987657481,3.342299847,-27092004.79,-4.21E-08,2987
237,2.258167936,1.032712473,0.982496847,3.251869916,-36183522.28,-4.43E-08,2988
238,2.090286895,1.843747531,0.985673983,4.776213535,-87102193.29,-2.23E-08,2989
239,2.323972291,2.022723634,0.986488441,4.640240761,-78215518.83,-2.92E-08,2990
240,2.445849378,1.662376679,0.98098781,6.234785674,0.260331788,0.99378623,2991
241,2.72046835,1.512809189,0.971697491,4.950339995,0.301975808,0.993211165,2992
242,1.514019112,1.151023202,0.998107688,2.023211952,1.215455837,0.998227528,2993
243,1.465385394,1.116361116,0.996488208,2.052833429,1.098177177,0.998964126,2994
244,1.53419863,0.932248099,0.995693772,1.576405206,1.315478295,0.999103989,2995
245,1.622196991,1.310563906,0.99696762,2.078637929,1.521949699,0.99800207,2996
246,1.432244712,0.964111238,0.996945779,1.910216993,0.959124408,0.999716545,2997
247,1.62582254,1.739246797,0.997610592,8.463488585,-23234108.05,-2.69E-08,2998
248,1.512134496,1.404318901,0.997681602,7.945711127,-24757094.43,-2.50E-08,2999
249,1.718140118,0.891867918,0.993285587,4.622754402,-9677557.777,-5.37E-08,3000
250,1.502315497,0.498108671,0.993047211,3.267065827,-22386631.66,-2.75E-08,3001
251,1.388508262,0.327442216,0.996984161,2.774679189,-21630787.28,-2.21E-08,3002
252,2.31370053,1.157266773,0.991943808,3.349010379,-51739147.08,-1.91E-08,3003
253,2.050888988,0.886992697,0.991171944,2.903194183,-35423273.06,-2.34E-08,3004
254,2.473230747,1.130649436,0.990650794,3.174058813,-36454114.02,-3.38E-08,3005
255,2.060019512,0.785532303,0.992352098,2.592592569,-23831181.67,-3.43E-08,3006
256,3.62301559,1.468962919,0.968692151,2.868900638,-74209039.81,-2.41E-08,3007
257,2.89744377,1.083006101,0.970331619,2.512247686,-83546248.17,-1.63E-08,3008
258,1.514310396,1.313521479,0.988959579,2.449450283,1.095012376,0.998190332,3009
259,1.425391987,1.5989663,0.998424038,3.403073799,0.850915314,0.997872947,3010
260,1.95106941,0.556695123,0.991045042,0.786573328,2.140121981,0.952107047,3011
261,1.292736625,1.327428103,0.994417964,3.513572043,0.587551836,0.998504965,3012
262,1.38338583,1.471150691,0.997498354,3.337932988,0.759329002,0.998351882,3013
263,1.506534709,0.559061312,0.995539379,1.098044809,0.990932531,0.984472509,3014
264,3.473664301,2.529102857,0.958773322,5.342924248,-29214646.88,-4.02E-08,3015
265,2.436143403,2.305429789,0.975301185,7.171764864,-30543313.81,-2.53E-08,3016
266,2.510224145,1.50696913,0.946818002,4.537157871,-18905059.53,-3.85E-08,3017
267,1.701570421,1.33895224,0.992960251,6.293545775,-22227963.72,-3.95E-08,3018
268,1.928000849,0.969281528,0.994811846,3.721453879,-35711680.48,-3.73E-08,3019
269,2.55168749,1.962620467,0.96666009,5.318033983,-39333144.75,-2.97E-08,3020
270,2.319798425,1.512155056,0.975031605,4.806995467,-10397984.22,-5.15E-08,3021
271,1.939885067,0.875862167,0.984243734,3.477418333,-23424762.54,-2.14E-08,3022
272,2.914189484,0.87737442,0.917211683,2.019215585,-28205152.77,-2.46E-08,3023
273,2.370198367,0.910111736,0.943625784,4.31470876,0.158757434,0.995491244,3024
274,2.288550835,0.571874175,0.958321797,2.791186262,0.158636909,0.997987855,3027
275,1.928250752,0.387975235,0.983309623,2.747143689,0.099340779,0.997430978,3028
276,1.831084406,0.315011484,0.981597685,2.905555127,0.070407687,0.997940504,3029
277,2.115501061,1.792917512,0.994946187,8.668136609,0.196849067,0.98700802,3030
278,1.748778034,1.254313801,0.997152299,9.899043203,0.102450199,0.993462543,3031
279,2.376825792,1.464507643,0.990507621,5.69076712,0.257593883,0.97946368,3032
280,2.56155682,1.481134489,0.990958559,5.145705229,0.289225708,0.979280575,3033
281,2.019432107,1.180124758,0.993601262,4.675555602,0.291747176,0.99392648,3034
282,1.979614555,1.098172293,0.993844121,4.683871213,0.25363668,0.995375132,3035
283,1.750583301,0.857703814,0.993969227,4.714749746,0.185351569,0.998314946,3036
284,1.773995563,0.803531561,0.995279168,4.272589794,0.193126408,0.996885838,3037
285,1.602262345,0.624311106,0.995631571,4.319871999,0.141366477,0.998835263,3038
286,1.705554558,0.620767937,0.99510826,3.733571931,0.162003423,0.998393692,3039
287,1.377372551,1.931226666,0.996234236,4.004436835,0.877346079,0.998565027,3040
288,1.266740598,1.929107156,0.998901806,5.530269364,0.521373839,0.998298792,3041
289,1.272506631,1.100739803,0.99676749,3.373856122,0.477227479,0.993975085,3042
290,1.51518603,2.28298607,0.995895354,4.179862254,1.130015727,0.998757912,3043
291,1.400245342,2.277719583,0.996635138,4.890424694,0.832820138,0.997968174,3044
292,1.301190522,1.392831722,0.997317532,3.756790145,0.57405802,0.995849007,3045
293,1.331507054,1.588699442,0.998970032,3.859577184,0.674098919,0.998833909,3046
294,1.19814804,1.643437378,0.998377981,5.98345741,0.371759552,0.998040258,3047
295,1.257155236,0.872048626,0.987734741,2.938903444,0.418216861,0.980191106,3048
296,2.190586324,0.957176559,0.969705394,3.997844814,-44125054.93,-6.99E-09,3049
297,1.831577717,0.556067491,0.988865606,2.861590011,-12984730.43,-2.99E-08,3050
298,2.010172395,0.527797832,0.983982189,2.179118747,-10310109.8,-4.50E-08,3051
299,3.874168124,1.65360541,0.969657048,3.278347569,-22087719.73,-4.93E-08,3052
300,4.481606946,1.596062395,0.960973768,2.878783353,-63643312.88,-1.88E-08,3053
301,4.017660608,1.736865351,0.957135672,3.012063899,-23088172.87,-7.51E-08,3054
302,4.275333882,1.988673687,0.980378265,3.745194052,-23094304.3,-6.08E-08,3055
303,3.775201051,2.170803595,0.936546431,4.312870957,-44247273.69,-2.99E-08,3056
304,3.539609767,2.004812701,0.965145935,4.183663181,-22454440.75,-4.68E-08,3057
305,3.598243569,2.203562521,0.944514591,4.645932874,-24876646.58,-5.14E-08,3058
306,4.163757293,1.381678016,0.955593028,2.59462332,-30565264.22,-4.47E-08,3059
307,3.990905927,1.270911619,0.950577614,2.526624602,-52313649.94,-2.10E-08,3060
308,3.658169577,1.393144603,0.966405782,2.539832586,-81755314.09,-1.52E-08,3061
309,3.476864283,1.51585293,0.976429223,3.291682485,-19335145.34,-5.22E-08,3062
310,3.404056829,1.566878532,0.944038192,3.363925696,-40953986.39,-2.99E-08,3063
311,3.024324386,1.445054648,0.960065865,3.444157483,-42778529.99,-2.23E-08,3064
312,3.168987444,1.649832488,0.92989517,3.660013996,-48082243.43,-2.08E-08,3065
313,3.211287698,0.997192622,0.945225561,2.321845785,-33588659.83,-3.01E-08,3066
314,3.272963795,1.006739263,0.96594713,2.874274148,0.306028734,0.992002591,3067
315,3.744625102,1.500299616,0.921470572,3.040628228,-37350635.8,-3.63E-08,3068
316,2.988411051,1.281641426,0.92359641,2.718555278,-35309456.44,-3.40E-08,3069
317,2.446360681,1.718206058,0.969712571,7.733484243,0.185700289,0.998704614,3070
318,2.403822337,1.615298838,0.973130522,7.583868127,0.171947678,0.998124284,3071
319,2.217495683,1.324409462,0.982106462,7.43522266,0.128357776,0.997805526,3072
320,2.278063571,1.810409756,0.978582053,9.512115874,0.143738301,0.998050307,3073
321,2.224475763,1.600990392,0.98418509,9.224646858,0.116944529,0.998401056,3074
322,2.013609248,1.271387229,0.988608749,9.117263019,0.092946503,0.998399223,3075
323,1.867982087,0.625051953,0.991166424,4.211867948,0.125407089,0.996766516,3076
