,Literature,Unnamed: 1,GAC,GAS,E,S,A,B,V,L,BET,Vt,Vmeso,Vmic,%C,%O,%N,Temp(K),Pressure,Adsorp(mmol/g),Index,logP,logQ,logD,Label,Unnamed: 25,K,n,R2
838,,60,,Ethane,0,0,0,0,0.3904,0.492,1220,0.534,0.055,0.479,,,,333,0.15885947,0.424210613,2404,-1.839735301,-0.857525219,0.982210083,E&E,,1.405770194,0.413799154,0.951954822
849,9,26,Co-NDPC-500,Acetylene,0.19,0.47,0.12,0.05,0.3044,0.07,720,0.64,0.31,0.33,67.3,21.18,11.52,298,0.022876221,0.792838875,2405,-3.777657308,-0.232135263,3.545522045,E&E,,4.099025883,0.391778221,0.995589774
861,,38,Co-NDPC-500,Ethane,0,0,0,0,0.3904,0.492,720,0.64,0.31,0.33,67.3,21.18,11.52,298,0.024716878,0.511508951,2406,-3.700268955,-0.670390193,3.029878761,E&E,,3.113560862,0.389771312,0.986272977
877,,54,Co-NDPC-500,Propane,0,0,0,0,0.5312,1.05,720,0.64,0.31,0.33,67.3,21.18,11.52,298,0.008743122,1.170076726,2407,-4.739487973,0.157069325,4.896557298,E&E,,3.806167359,0.194294734,0.962870012
891,,91,Co-NDPC-600,Acetylene,0.19,0.47,0.12,0.05,0.3044,0.07,911,0.54,0.1,0.44,70.06,18.2,11.74,298,0.021379981,1.001103808,2408,-3.845300282,0.0011032,3.846403482,E&E,,6.84858228,0.436753507,0.994113062
904,,104,Co-NDPC-600,Ethane,0,0,0,0,0.3904,0.492,911,0.54,0.1,0.44,70.06,18.2,11.74,298,0.009718173,0.692306597,2409,-4.633757643,-0.367726362,4.266031281,E&E,,6.085547732,0.381135853,0.987563025
918,,118,Co-NDPC-600,Propane,0,0,0,0,0.5312,1.05,911,0.54,0.1,0.44,70.06,18.2,11.74,298,0.011661808,2.417984961,2410,-4.451436086,0.882934532,5.334370619,E&E,,5.707459466,0.1706853,0.970834797
935,,156,Co-NDPC-700,Acetylene,0.19,0.47,0.12,0.05,0.3044,0.07,1149,1.58,1.12,0.46,74.99,14.15,10.86,298,0.034164477,0.972050506,2411,-3.376568852,-0.028347515,3.348221337,E&E,,6.026033691,0.468058262,0.993579515
947,,168,Co-NDPC-700,Ethane,0,0,0,0,0.3904,0.492,1149,1.58,1.12,0.46,74.99,14.15,10.86,298,0.016517059,0.691158226,2412,-4.103361554,-0.3693865,3.733975054,E&E,,5.427938524,0.400832565,0.986627808
961,,182,Co-NDPC-700,Propane,0,0,0,0,0.5312,1.05,1149,1.58,1.12,0.46,74.99,14.15,10.86,298,0.006103409,3.012233383,2413,-5.098907875,1.102681791,6.201589666,E&E,,7.610134972,0.149209476,0.968524057
975,,218,Co-NDPC-800,Acetylene,0.19,0.47,0.12,0.05,0.3044,0.07,1187,1.06,0.54,0.52,82.44,11.25,6.31,298,0.024890893,0.630142156,2414,-3.693253279,-0.461809841,3.231443438,E&E,,5.683011472,0.510795693,0.996167875
