,Literature,Unnamed: 1,GAC,GAS,E,S,A,B,V,L,BET,Vt,Vmeso,Vmic,%C,%O,%N,Temp(K),Pressure,Adsorp(mmol/g),Index,K,n,R2,Excluded,P1,P2,P3,P4,P5
935,,7,CTP-573-Pd,Hydrogen,0,0,0,0,0.1086,-1.2,743,0.83,0.56,0.27,,,,77,0.778546713,2.086065688,3692,3.585552111,0.233842427,0.890474782,1,0.778546713,27.09342561,40.79584775,50.44982699,54.34256055
943,,15,CTP-773-Pd,Hydrogen,0,0,0,0,0.1086,-1.2,777,0.83,0.58,0.25,,,,77,0.467128028,3.084154202,3693,3.914750976,0.210668009,0.988587922,,0.467128028,4.048442907,8.875432526,26.00346021,43.59861592
950,,22,CTs,Hydrogen,0,0,0,0,0.1086,-1.2,1540,1.14,0.6,0.54,,,,77,0.460750853,4.88866647,3694,7.833075738,0.199114469,0.898632474,,0.460750853,4.146757679,11.05802048,36.70648464,50.83617747
956,,28,CTs-573-Pd,Hydrogen,0,0,0,0,0.1086,-1.2,1240,0.94,0.41,0.53,,,,77,1.228668942,8.962855632,3695,8.715764105,0.127303338,0.975186147,,1.228668942,4.146757679,6.604095563,27.49146758,50.98976109
963,,35,CTs-773-Pd,Hydrogen,0,0,0,0,0.1086,-1.2,1350,1.1,0.61,0.49,,,,77,0.767918089,6.72960974,3696,8.128391429,0.173283226,0.946190059,,0.767918089,2.150170648,5.989761092,28.10580205,41.62116041
969,19,0,OMC,Hydrogen,0,0,0,0,0.1086,-1.2,1011,1.12,0.73,0.39,,,,298,5.886287625,0.107677578,3697,0.023625932,0.924387138,0.997773794,,5.886287625,23.94648829,33.31103679,42.34113712,56.52173913
976,,7,OMC-2-co,Hydrogen,0,0,0,0,0.1086,-1.2,789,0.99,0.68,0.31,,,,298,5.217391304,0.15832568,3698,0.037675995,0.897928518,0.999712789,,5.217391304,14.24749164,33.37792642,50.16722408,56.65551839
983,,14,OMC-5-co,Hydrogen,0,0,0,0,0.1086,-1.2,776,0.93,0.64,0.29,,,,298,5.418060201,0.27098099,3699,0.056489533,0.906336816,0.99938563,,5.418060201,14.24749164,42.60869565,50.30100334,56.85618729
990,,21,OMC-8-co,Hydrogen,0,0,0,0,0.1086,-1.2,554,0.39,0.15,0.24,,,,298,5.418060201,0.27098099,3700,0.061390601,0.895933287,0.999261323,,5.418060201,13.91304348,33.11036789,50.16722408,56.65551839
997,20,0,C-CP-1,Hydrogen,0,0,0,0,0.1086,-1.2,3255,1.43,1.3,0.13,,,,77,0.381000344,5.814554916,3701,10.66618137,0.346735038,0.987562931,,0.381000344,0.83028872,5.418604688,7.558180232,20.04320263
1008,,11,C-CP-2,Hydrogen,0,0,0,0,0.1086,-1.2,3290,1.5,1.34,0.16,,,,77,0.120707649,2.796388589,3702,11.49270413,0.358516342,0.988824749,,0.120707649,13.29662376,16.94148165,18.79916319,19.99835298
1023,,26,C-CP-3,Hydrogen,0,0,0,0,0.1086,-1.2,3315,2.39,0.95,1.44,,,,77,0.237772847,2.041356069,3703,9.359448839,0.366960423,0.965366636,1,0.237772847,6.828644866,9.109230762,13.71702592,20.11202911
1036,21,0,MCN-1-3h,Hydrogen,0,0,0,0,0.1086,-1.2,872,0.84,0.35,0.49,92.7,4.3,2.3,77,0.017478593,1.365448505,3704,5.181884674,0.275213367,0.962803878,,0.017478593,0.092696744,0.161605051,0.248938836,0.987472144
1049,,13,MCN-1-1h,Hydrogen,0,0,0,0,0.1086,-1.2,597,0.73,0.46,0.27,87.8,5.6,4.5,77,0.010021876,0.946843854,3705,3.565275832,0.231704305,0.966689953,,0.010021876,0.038418213,0.237651726,0.794295428,0.981027615
1063,,27,MCN-1,Hydrogen,0,0,0,0,0.1086,-1.2,408,0.38,0.21,0.17,65.5,17.4,13.8,77,0.009983103,0.757475083,3706,3.208982281,0.233468807,0.95206092,,0.009983103,0.063008644,0.273239488,0.863018032,0.982184691
