,E,S,A,B,V,L,BET,Vt,Temp(K),K,n,Vmic
266,0,0.28,0.05,0.1,0.2809,0.058,1267.0,0.45,298.0,3.501530523780053,0.6456048221886044,0.5
267,0,0.28,0.05,0.1,0.2809,0.058,1346.0,0.57,298.0,3.2775376647182592,0.725486611761548,0.46
268,0,0.28,0.05,0.1,0.2809,0.058,1379.0,0.58,298.0,4.224134441096025,0.6688387879475869,0.51
269,0,0.28,0.05,0.1,0.2809,0.058,1699.0,0.8,298.0,2.025148125410572,0.6602952966017163,0.48
270,0,0.28,0.05,0.1,0.2809,0.058,1111.0,0.55,298.0,2.561944472874044,0.6122085712987948,0.33
271,0,0.28,0.05,0.1,0.2809,0.058,1381.0,0.62,298.0,2.8100042255483784,0.6611019858016158,0.49
272,0,0.28,0.05,0.1,0.2809,0.058,1263.0,0.62,298.0,2.890735935658756,0.6323372385161271,0.41
273,0,0.28,0.05,0.1,0.2809,0.058,585.0,0.28,298.0,4.176720717728191,0.6168396293180897,0.2
274,0,0.28,0.05,0.1,0.2809,0.058,1593.0,0.74,298.0,4.131977063505582,0.8375056959828135,0.54
275,0,0.28,0.05,0.1,0.2809,0.058,1417.0,0.91,283.0,4.225334840081724,0.5834920306430712,0.4
276,0,0.28,0.05,0.1,0.2809,0.058,1417.0,0.91,293.0,3.183199351627652,0.6351721408653713,0.4
277,0,0.28,0.05,0.1,0.2809,0.058,1417.0,0.91,313.0,2.374993893708213,0.7104989030632637,0.4
290,0,0.28,0.05,0.1,0.2809,0.058,970.0,0.618,273.0,5.819808872901415,0.4938539891120203,0.455
291,0,0.28,0.05,0.1,0.2809,0.058,765.0,0.412,273.0,5.000900271514607,0.4215862484942383,0.367
292,0,0.28,0.05,0.1,0.2809,0.058,384.0,0.273,273.0,3.5908346490494893,0.3330134404119769,0.174
293,0,0.28,0.05,0.1,0.2809,0.058,605.0,0.478,273.0,3.442884736269468,0.3930125979947104,0.23
306,0,0.28,0.05,0.1,0.2809,0.058,1260.0,0.62,273.0,6.348362574593231,0.6018129184944215,0.55
307,0,0.28,0.05,0.1,0.2809,0.058,1260.0,0.62,298.0,4.849172473265147,0.7099697817548605,0.55
308,0,0.28,0.05,0.1,0.2809,0.058,1260.0,0.62,323.0,3.561869906250947,0.826900589807963,0.55
309,0,0.28,0.05,0.1,0.2809,0.058,1380.0,0.67,273.0,6.195476426580167,0.6180445396802386,0.61
310,0,0.28,0.05,0.1,0.2809,0.058,1380.0,0.67,298.0,4.719371897266866,0.7822029995363879,0.61
311,0,0.28,0.05,0.1,0.2809,0.058,1380.0,0.67,323.0,3.2819232961938614,0.8604495490823856,0.61
312,0,0.28,0.05,0.1,0.2809,0.058,1390.0,0.69,273.0,6.749056124112476,0.68817758575782,0.62
313,0,0.28,0.05,0.1,0.2809,0.058,1390.0,0.69,298.0,4.406451061942458,0.7421788702935986,0.62
314,0,0.28,0.05,0.1,0.2809,0.058,1390.0,0.69,323.0,2.6447467383999284,0.9070304769299324,0.62
