,Unnamed: 0,GAC,GAS,E,S,A,B,V,L,BET,Vt,Vmeso,Vmic,%C,%O,%N,Temp(K),Pressure,Adsorp(mmol/g),Index,K,n,R2
1458,35,C950-2,Hydrogen,0,0,0,0,0.1086,-1.2,2373,1.43,0.62,0.81,,,,77,0.013058831,2.009456265,142,10.27761659,0.350384788,0.994762052
1471,48,C950-4,Hydrogen,0,0,0,0,0.1086,-1.2,2741,1.73,0.79,0.94,,,,77,0.020967742,2.25,143,11.35513968,0.385485656,0.98886332
1481,0,AC1,Hydrogen,0,0,0,0,0.1086,-1.2,3306,,,1.2,,,,303,10.06237738,0.608817293,144,0.104816412,0.769884759,0.985648227
1488,7,AC2,Hydrogen,0,0,0,0,0.1086,-1.2,1060,,,0.49,,,,303,19.31323298,0.709547815,145,0.112784811,0.646367196,0.993858821
1493,12,ACF,Hydrogen,0,0,0,0,0.1086,-1.2,1984,,,0.65,,,,303,10.64691236,0.494361988,146,0.101146475,0.713256996,0.997888841
1499,0,CAC1,Hydrogen,0,0,0,0,0.1086,-1.2,2988,1.36,0.871,0.489,,,,77,0.030100629,2.298257054,147,14.6227361,0.466530597,0.994059218
1508,9,CAC0,Hydrogen,0,0,0,0,0.1086,-1.2,3148,1.5,0.891,0.609,,,,77,0.060870944,2.985830851,148,12.30813565,0.457799258,0.992813057
1516,17,CAC3,Hydrogen,0,0,0,0,0.1086,-1.2,3169,1.84,0.949,0.891,,,,77,0.013305606,0.608533211,149,10.86717449,0.487388987,0.988168311
1526,27,CAC2,Hydrogen,0,0,0,0,0.1086,-1.2,2615,1.6,0.756,0.844,,,,77,0.03711471,1.681793349,150,9.64291241,0.464687217,0.992970456
1536,37,CAC6,Hydrogen,0,0,0,0,0.1086,-1.2,3059,1.57,0.983,0.587,,,,77,0.009074218,1.683673469,151,14.54478343,0.417746923,0.997266062
1547,48,CAC7,Hydrogen,0,0,0,0,0.1086,-1.2,3530,1.95,0.953,0.997,,,,77,0.012887508,0.918367347,152,13.91053735,0.493236982,0.993267171
